com.samsung.health.water_intake,6261011,5
start_time,amount,custom,update_time,create_time,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2023-12-06 22:49:06.859,250.0,,2023-12-06 22:49:07.215,2023-12-06 22:49:07.215,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,648216f2-72a8-465d-9e25-89bd71b50ac1,
2023-12-06 22:49:07.627,250.0,,2023-12-06 22:49:07.982,2023-12-06 22:49:07.982,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,7116de7a-2768-441b-906e-4ae3d2fbca07,
2023-12-06 22:49:09.535,250.0,,2023-12-06 22:49:09.891,2023-12-06 22:49:09.891,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,9ec95d25-0265-4fc2-b335-a4848daee338,
2023-12-06 22:49:11.167,250.0,,2023-12-06 22:49:11.523,2023-12-06 22:49:11.523,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,882ecfea-5f7e-43aa-89dd-3a9de08874f9,
2023-12-06 22:49:13.666,250.0,,2023-12-06 22:49:14.022,2023-12-06 22:49:14.022,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,cd1e25ad-3175-4860-bcd0-8d43fc5458f8,
2023-12-06 22:51:28.001,250.0,,2023-12-06 22:51:28.358,2023-12-06 22:51:28.358,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,4a7a2e9f-daf2-4f48-9be8-fbd4f8569690,
2023-12-06 22:59:31.546,250.0,,2023-12-06 22:59:31.903,2023-12-06 22:59:31.903,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,8f952e19-1ed9-470e-bd58-735c45dc79b2,
2023-12-07 09:51:08.212,250.0,,2023-12-07 09:51:08.568,2023-12-07 09:51:08.568,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,81db1e5a-6467-4bd3-a2dd-eb6b38e105e9,
2023-12-07 10:25:58.442,250.0,,2023-12-07 10:25:58.796,2023-12-07 10:25:58.796,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,bc1119b3-8059-45ec-84bf-db978f44ba4e,
2023-12-07 21:08:22.285,250.0,,2023-12-07 21:08:22.648,2023-12-07 21:08:22.648,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,97c61412-b7c3-4026-9760-85097120d587,
2023-12-07 21:08:22.997,250.0,,2023-12-07 21:08:23.352,2023-12-07 21:08:23.352,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,7c1f1e30-6e73-4a63-9ee2-3d0feb512e72,
2023-12-07 21:08:25.001,250.0,,2023-12-07 21:08:25.357,2023-12-07 21:08:25.357,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,da8a2f17-e27e-498f-9f38-b3f21c75feb4,
2023-12-07 21:08:26.895,250.0,,2023-12-07 21:08:27.253,2023-12-07 21:08:27.253,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,92fa1b20-64fb-48ea-8466-4c43042f73d0,
2023-12-08 13:08:05.076,250.0,,2023-12-08 13:08:05.430,2023-12-08 13:08:05.430,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,56e62271-d0ce-4fa4-a852-6fc1dc9f18fc,
2023-12-08 13:08:07.025,250.0,,2023-12-08 13:08:07.378,2023-12-08 13:08:07.378,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,131a1ca0-1362-41e9-9941-71a081fed679,
2023-12-08 13:08:19.176,250.0,,2023-12-08 13:08:19.534,2023-12-08 13:08:19.534,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,4d1bdfa9-8c9f-43cd-8352-11a67a9152cc,
2023-12-08 13:08:20.040,250.0,,2023-12-08 13:08:20.394,2023-12-08 13:08:20.394,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,7cd8566c-9856-481c-a689-f2d428b6d486,
2023-12-08 21:10:24.762,250.0,,2023-12-08 21:10:25.118,2023-12-08 21:10:25.118,UTC+0100,YygnjwRWuX,250.0,,com.sec.android.app.shealth,4b4f0d67-9bc3-4b5d-97f8-f59412e990ac,
