,Imie,Data modyfikacji,Rozszerzenie,Nazwa pliku,Liczba znaków:,Liczba wierszy,Laczna dlugosc komentarzy,Liczba pustych linii,Najdłuższe słowo,Długośc pierwszego komentarza,Srednia liczba znaków w wierszu,Liczba wierszy zakonczonych srednikiem,"Liczba wierszy, ktore powinny sie konczyc srednikiem","Liczba operatorów: +, -, *, /, =, :, ./, .*",Liczba operatorow otoczonych spacjami,Liczba zbyt długich linii
41,Sebastian,2023-12-03,m,zlozonaKwadraturaNewtonaCotesa.m,1505,40,20,3,"zlozonaKwadraturaNewtonaCotesa(a,",17,36.65,10,14,29,13,1
42,Sebastian,2023-12-03,m,zlozonaKwadraturaNewtona_3_8.m,1470,41,24,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y))+3*f((a+H/3:H:b-H+H/3))+3*f((a+2*H/3:H:b-H+2*H/3)))*H/8;,15,34.8780487804878,6,7,75,13,1
43,Sebastian,2023-12-03,m,zlozonaKwadraturaProstokatow.m,1074,34,17,5,"zlozonaKwadraturaProstokatow(a,",14,30.61764705882353,4,6,27,9,0
44,Sebastian,2023-12-03,m,zlozonaKwadraturaSimpsona.m,1359,40,23,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y))+4*f(((a:H:b-H)+(a+H:H:b))/2))*H/6;,15,33.0,6,7,56,10,1
45,Sebastian,2023-12-03,m,zlozonaKwadraturaTrapezow.m,1232,38,21,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y)))*H/2;,14,31.44736842105263,6,7,36,12,0
46,Sebastian,2023-12-03,m,funkcjaPodCalka.m,79,3,0,0,funkcjaPodCalka(x),0,25.666666666666668,1,1,3,4,0
47,Sebastian,2023-12-05,m,main.m,7486,172,145,19,rysujWykresWartosciDlaRoznychPrzedzialow(@(x),2,42.52325581395349,8,8,68,47,31
48,Sebastian,2023-12-03,m,romberg.m,1168,35,18,4,"fprintf(""Ekstrapolacja",18,32.4,5,5,21,8,0
49,Sebastian,2023-12-05,m,rombergZWarunkiemStopu.m,2456,62,30,4,"rombergZWarunkiemStopu(a,",30,38.61290322580645,12,13,33,16,2
50,Sebastian,2023-12-05,m,rysujWykresCzasuWykonaniaRomberga.m,692,21,1,3,"'MarkerFaceAlpha',.25,'MarkerEdgeAlpha',.25)",1,32.0,4,13,9,4,3
51,Sebastian,2023-12-05,m,rysujWykresKwadraturyBlad.m,1813,39,8,2,"""x^3*cos(sin(5*x))"",""(x^2+5)^{cos(x^2)}""],'FitBoxToText','on');",8,45.51282051282051,8,20,29,11,6
52,Sebastian,2023-12-05,m,rysujWykresRombergBlad.m,1988,53,11,7,"""x^3*cos(sin(5*x))"",""(x^2+5)^{cos(x^2)}""],'FitBoxToText','on');",9,36.528301886792455,13,23,37,17,2
53,Sebastian,2023-12-05,m,rysujWykresWartosciDlaRoznychPrzedzialow.m,1695,33,6,2,"rysujWykresWartosciDlaRoznychPrzedzialow(funkcja,",6,50.39393939393939,8,21,20,10,8
54,Sebastian,2023-12-05,m,skryptTestujacy.m,8259,212,68,46,(2.*sin((x.^225)./2).*cos((x.^225)./2)).^2,2,37.9622641509434,77,84,112,79,32
55,Sebastian,2023-12-03,m,zlozonaKwadraturaNewtonaCotesa.m,1505,40,20,3,"zlozonaKwadraturaNewtonaCotesa(a,",17,36.65,10,14,29,13,1
56,Sebastian,2023-12-03,m,zlozonaKwadraturaNewtona_3_8.m,1470,41,24,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y))+3*f((a+H/3:H:b-H+H/3))+3*f((a+2*H/3:H:b-H+2*H/3)))*H/8;,15,34.8780487804878,6,7,75,13,1
57,Sebastian,2023-12-03,m,zlozonaKwadraturaProstokatow.m,1074,34,17,5,"zlozonaKwadraturaProstokatow(a,",14,30.61764705882353,4,6,27,9,0
58,Sebastian,2023-12-03,m,zlozonaKwadraturaSimpsona.m,1359,40,23,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y))+4*f(((a:H:b-H)+(a+H:H:b))/2))*H/6;,15,33.0,6,7,56,10,1
59,Sebastian,2023-12-03,m,zlozonaKwadraturaTrapezow.m,1232,38,21,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y)))*H/2;,14,31.44736842105263,6,7,36,12,0
